road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,tertiary,Main Road,9.60974652901516,16.531423750000002,80.58903774999999
,trunk,Highway,152.9380888573848,16.538379750189005,80.58357129638964
,residential,Inner Road,82.85792459389515,16.539193385263236,80.58350465393627
,secondary,Main Road,14.869126097556823,16.5580164,80.5679564
,trunk,Highway,479.9145806761343,16.5567037588319,80.56963947536043
,secondary,Main Road,73.66597722994875,16.55841306003989,80.5679415128616
,residential,Inner Road,40.84448366341975,16.55022668728108,80.61678795049207
,residential,Inner Road,99.60301277274206,16.549935820424295,80.61683243187977
"['Nehru Inner Ring Road', 'Inner ring road']",primary,Main Road,126.61679272017008,16.55090773708042,80.61708031158476
,tertiary,Main Road,9.60974652901516,16.531423750000002,80.58903774999999
,residential,Inner Road,188.32674254021327,16.530688574851318,80.58852365276789
,trunk,Highway,108.44184949064412,16.53173458108115,80.58864428747926
Vijawada Bypass Road,primary,Main Road,12.960234745196953,16.540312450000002,80.58234329999999
,trunk,Highway,15.598943599139085,16.540358760368967,80.58223969172434
,tertiary,Main Road,41.073405708190876,16.53460764680641,80.59028070840992
,tertiary,Main Road,11.537343221711033,16.5356308,80.59066015
,tertiary,Main Road,53.907571326088316,16.53535215,80.59056145
,tertiary,Main Road,57.58752025189218,16.53592575,80.59076245
,tertiary,Main Road,11.537343221711033,16.5356308,80.59066015
,residential,Inner Road,30.674103584408268,16.5357402652987,80.59054757504451
,residential,Inner Road,32.487162158655266,16.5362089,80.58920255000001
,residential,Inner Road,70.63984527286732,16.53662505,80.58941595
,residential,Inner Road,45.572528834774474,16.536251800000002,80.58946140000002
,residential,Inner Road,48.01054559724409,16.53643525,80.58906635
,residential,Inner Road,32.65101141361251,16.5363962,80.58880095
,residential,Inner Road,71.977274014907,16.5368189,80.5890162
,residential,Inner Road,48.01054559724409,16.53643525,80.58906635
,residential,Inner Road,46.12568518620427,16.53662355,80.58867090000001
,residential,Inner Road,32.33232617986988,16.53658625,80.5884117
,residential,Inner Road,71.86359172924834,16.5370055,80.58862985
,residential,Inner Road,46.12568518620427,16.53662355,80.58867090000001
,residential,Inner Road,50.16784649566811,16.536820300000002,80.58826855000001
,residential,Inner Road,69.97176168799804,16.5372045,80.58820695
,residential,Inner Road,50.16784649566811,16.536820300000002,80.58826855000001
,residential,Inner Road,49.46032060584082,16.5370244,80.58785255000001
,residential,Inner Road,103.26888542954671,16.536574200600153,80.58777091646813
,residential,Inner Road,69.09384941321777,16.53740175,80.58779369999999
